,url,cadena,cine,direccion,precio,salas,Entrada,Día del espectador,La noche del Domingo,Menores 12 años,Mayores 65 años,Pack Familiar,Matinales,Martes y jueves,Fin de semana y festivos,Vuelve al cine,Carné joven,Primera sesión laborables,Última sesión domingos y festivos,"Viernes, sábados, domingos y festivos",Miércoles al cine,CP,Fin de semana,Socio
0,https://www.golem.es/golem/golem-baiona,Golem,Golem Baiona,"Avenida Baiona, 52 31008 Pamplona-Iruña ","Entrada : 7,40 € Lunes y míercoles • Día del espectador (excepto festivo): 5,40 € La noche del Domingo (excepto víspera de festivo): 5,50 € Menores 12 años: 6,20 € Mayores 65 años: 6,50 € Pack Familiar: 24,00 €",6.0,7.4,5.4,5.5,6.2,6.5,24.0,,,,,,,,,,31008,,
1,https://www.golem.es/golem/golem-yamaguchi,Golem,Golem Yamaguchi,"Plaza Yamaguchi, 9 31008 Pamplona-Iruña ","Entrada : 7,40 € Lunes y míercoles • Día del espectador (excepto festivo): 5,40 € La noche del Domingo (excepto víspera de festivo): 5,50 € Menores 12 años: 6,20 € Mayores 65 años: 6,50 € Pack Familiar: 24,00 €",5.0,7.4,5.4,5.5,6.2,6.5,24.0,,,,,,,,,,31008,,
2,https://www.golem.es/golem/golem-la-morea,Golem,Golem La Morea,Centro Comercial y de Ocio La Morea Parque Comercial Galaria 31191 - Cordovilla,"Entrada : 7,40 € Lunes y míercoles • Día del espectador (excepto festivo): 5,40 € La noche del Domingo (excepto víspera de festivo): 5,50 € Menores 12 años: 6,20 € Mayores 65 años: 6,50 € Pack Familiar: 24,00 €",12.0,7.4,5.4,5.5,6.2,6.5,24.0,,,,,,,,,,31191,,
3,https://www.golem.es/golem/golem-alhondiga,Golem,Golem Alhóndiga,Alameda de Rekalde 56 48010 - Bilbao ,"Entrada: 7,90 € Lunes y míercoles • Día del espectador (excepto festivo): 5,50 € La noche del Domingo ( excepto víspera de festivo): 5,50 € Matinales: 5,00 € Menores 12 años: 6,20 € Mayores 65 años: 6,50 € Pack Familiar: 24,00 €",8.0,7.9,5.5,5.5,6.2,6.5,24.0,5.0,,,,,,,,,48010,,
4,https://www.golem.es/golem/vangolem,Golem,Van Golem,"Avenida Arlanzón, 36 09004 Burgos ","Entrada: 6,00 € Viernes, sábados, domingos y festivos : 7,20 € Lunes • Día del espectador (excepto festivo): 5,20 € Miércoles al cine (excepto festivo): 5,20 € La noche del Domingo (excepto víspera de festivo): 5,00 € Menores 12 años: 6,20 € Mayores 65 años: 6,50 € Pack Familiar: 24,00 €",6.0,6.0,5.2,5.0,6.2,6.5,24.0,,,,,,,,7.2,5.2,09004,,
5,https://www.golem.es/golem/golem-madrid,Golem,Golem Madrid,"C/ Martin de los Heros, 14 (Plaza de España) 28008 - Madrid ","Martes y jueves (excepto festivos): 7,50 € Precio fin de semana y festivos: 8,50 € Día del espectador: 5,00 € (Lunes y miércoles excepto festivos) Vuelve al cine: 6,00 € (Todos los días y sesiones presentado el ticket anterior) Mayores de 65 años: 6,50 € (En la taquilla del cine) Escuelas de cine y carné joven: 6,50 € (Martes y jueves, excepto festivos) Primera sesión laborables: 6,00 € (De martes a viernes, hasta las 17:30, excepto festivos) Última sesión domingos y festivos: 6,00 €",5.0,,5.0,,,6.5,,,7.5,8.5,6.0,6.5,6.0,6.0,,,28008,,
6,https://www.cinesrenoir.com/cine/cines-princesa/cartelera/,Renoir,Cines Princesa,"PRINCESA, 3-5 - 28008 MADRID","Laboral Martes y Jueves. No festivos 8.00 € 7.90 € * Fin de semana y festivos Viernes, Sábado, Domingo y festivos 9.50 € 9.40 € *  Día del espectador Lunes y Miércoles no festivos 5.00 € 4.90 € * PROMOCIÓN Vuelve al cine Ver condiciones 6.60 € 6.50 € * COLECTIVOS Mayores de 65 Años Primera sesión de los Viernes, debidamente acreditados. Excepto festivos 6.60 € No canjeable",11.0,,9.5,,,5.0,,,,7.9,9.4,,,,,,28008,,
7,https://www.cinesrenoir.com/cine/renoir-floridablanca/cartelera/,Renoir,Renoir Floridablanca,"FLORIDABLANCA, 135 - 08011 BARCELONA ","Laboral Martes y Jueves. No festivos 8.00 € 7.90 € * Fin de semana y festivos Viernes, Sábado, Domingo y festivos 9.50 € 9.40 € *  Día del espectador Lunes y Miércoles no festivos 5.00 € 4.90 € * PROMOCIÓN Vuelve al cine Ver condiciones 6.60 € 6.50 € * COLECTIVOS Mayores de 65 Años Primera sesión de los Viernes, debidamente acreditados. Excepto festivos 6.60 € No canjeable",7.0,,9.5,,,5.0,,,,7.9,9.4,,,,,,08011,,
8,https://www.cinesrenoir.com/cine/renoir-plaza-de-espana/cartelera/,Renoir,Renoir Plaza de España,"MARTIN DE LOS HEROS, 12 - 28008 MADRID","Laboral Martes y Jueves. No festivos 8.00 € 7.90 € * Fin de semana y festivos Viernes, Sábado, Domingo y festivos 9.50 € 9.40 € *  Día del espectador Lunes y Miércoles no festivos 5.00 € 4.90 € * PROMOCIÓN Vuelve al cine Ver condiciones 6.60 € 6.50 € * COLECTIVOS Mayores de 65 Años Primera sesión de los Viernes, debidamente acreditados. Excepto festivos 6.60 € No canjeable",5.0,,9.5,,,5.0,,,,7.9,9.4,,,,,,28008,,
9,https://www.cinesrenoir.com/cine/renoir-retiro/cartelera/,Renoir,Renoir Retiro,"NARVÁEZ, 42 - 28009 MADRID","Laboral Martes y Jueves. No festivos 8.00 € 7.90 € * Fin de semana y festivos Viernes, Sábado, Domingo y festivos 9.50 € 9.40 € *  Día del espectador Lunes y Miércoles no festivos 5.00 € 4.90 € * PROMOCIÓN Vuelve al cine Ver condiciones 6.60 € 6.50 € * COLECTIVOS Mayores de 65 Años Primera sesión de los Viernes, debidamente acreditados. Excepto festivos 6.60 € No canjeable",4.0,,9.5,,,5.0,,,,7.9,9.4,,,,,,28009,,
10,https://www.cinesa.es/cines/as-cancelas/,Cinesa,As Cancelas,"Centro comercial As Cancelas Avenida Do Camiño Francés, 3 15703 Santiago de Compostela, A Coruña","PRECIOS GENERALES Laborables (de lunes a jueves y viernes hasta las 18:59) 7,50€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 7,90€ Sesiones matinales (hasta las 14:59) 5,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 5,50€ myCINESA (todos los martes, excepto festivos) 4,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 5,90€ Carné joven <30 años, carné universitario, mayores de 65 años (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos)) 6,30€ Menores de 13 años (todos los días) 5,90€ SUPLEMENTOS iSense 2,00€ 3D 1€ Gafas 3D 1,50€ Butaca VIP 1,20€",8.0,7.5,,,5.9,6.3,,5.9,,,,5.9,,,,5.5,15703,7.9,4.9
11,https://www.cinesa.es/cines/bahia-de-santander/,Cinesa,Bahía de Santander,"Centro comercial Bahía de Santander Polígono Nueva Montaña, 71 39011 Santander","PRECIOS GENERALES Laborables (de lunes a jueves y viernes hasta las 18:59) 6,90€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 7,50€ SESIONES MATINALES Laborables (hasta las 14:59) 4,90€ Fin de semana y festivos (hasta las 14:59) 5,50€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 4,90 € myCINESA (todos los martes, excepto festivos) 4,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario, mayores de 65 años y menores de 13 (todos los días) 5,90€ SUPLEMENTOS 3D 1€ Gafas 3D 1,50€ Butaca VIP 0,50€",12.0,6.9,,,5.9,5.9,,4.9,,,,5.9,,,,4.9,39011,7.5,4.9
12,https://www.cinesa.es/cines/barnasud/,Cinesa,Barnasud,"Centro comercial Barnasud Carrer del Progrés, 69 08850 Gavà, Barcelona","PRECIOS GENERALES Todos los días 9,50€ Sesiones matinales en días laborables (hasta las 14:59) 6,50€ Sesiones matinales en fin de semana y festivos (hasta las 14:59) 6,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,20€ myCINESA (todos los martes, excepto festivos) 5,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 6,90€ Carné joven <30 años, carné universitario y mayores de 65 años (viernes y víspera de festivos desde las 19:00, sábados, domingos y festivos) 7,50€ Menores de 13 años (todos los días) 6,90€ SUPLEMENTOS 3D 1€ Gafas 3D 1,50€ Butaca VIP 1,20€",7.0,9.5,,,7.5,6.9,,6.5,,,,6.9,,,,6.2,08850,9.5,5.9
13,https://www.cinesa.es/cines/bonaire/,Cinesa,Bonaire,"Centro comercial Bonaire Autovía del Este, Km 345 46960, Valencia","PRECIOS GENERALES Laborables (de lunes a jueves y viernes hasta las 18:59) 9,50€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 9,90€ SESIONES MATINALES Laborables (hasta las 14:59) 6,50€ Fin de semana y festivos (hasta las 14:59) 6,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,50€ myCINESA (todos los martes, excepto festivos) 5,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 6,90€ Menores de 13 años (todos los días) 6,90€ SUPLEMENTOS iSense 2,00€ ScreenX 3,00€ 3D 1€ Gafas 3D 1,50€",12.0,9.5,,,6.9,6.9,,6.5,,,,5.9,,,,6.9,46960,9.9,6.5
14,https://www.cinesa.es/cines/camas/,Cinesa,Camas,"Centro comercial Camas Aljarafe C. Poeta Muñoz San Román, s/n 41900 Sevilla","PRECIOS GENERALES Laborables (de lunes a jueves y viernes hasta las 18:59) 5,90€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 6,50€ Sesiones matinales (hasta las 14:59) 4,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 4,90€ myCINESA (todos los martes, excepto festivos) 4,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 5,20€ Menores de 13 años (todos los días) 4,90€ SUPLEMENTOS 3D 1€ Gafas 3D 1,50€",12.0,5.9,,,1.5,4.9,,4.9,,,,5.2,,,,4.9,41900,6.5,4.9
15,https://www.cinesa.es/cines/diagonal/,Cinesa,Diagonal,"Diagonal Carrer de Santa Fe de Nou Mèxic, s/n 08021 Barcelona","PRECIOS GENERALES Laborables (de lunes a jueves y viernes hasta las 18:59) 9,90€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 9,50€ SESIONES MATINALES Laborables (hasta las 14:59) 6,50€ Fin de semana y festivos (hasta las 14:59) 6,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,50€ myCINESA (todos los martes, excepto festivos) 5,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 6,90€ Menores de 13 años (todos los días) 6,90€ SUPLEMENTOS 3D 1€ Gafas 3D 1,50€",11.0,9.9,,,6.9,6.9,,6.5,,,,6.9,,,,6.5,08021,9.5,5.9
16,https://www.cinesa.es/cines/diagonal-mar/,Cinesa,Diagonal Mar,"Centro comercial Diagonal Mar Avinguda Diagonal, 3 08019 Barcelona","PRECIOS GENERALES Laborables (de lunes a jueves y viernes hasta las 18:59) 8,90€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 9,50€ SESIONES MATINALES Laborables (hasta las 14:59) 6,50€ Fin de semana y festivos (hasta las 14:59) 6,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 5,90€ myCINESA (todos los martes, excepto festivos) 5,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 6,90€ Menores de 13 años (todos los días) 6,90€ SUPLEMENTOS iSense 2,00€ Sala IMAX 3,00€ 3D 1€ Gafas 3D y gafas IMAX 1,50€ Butaca VIP 1,20€",11.0,8.9,,,6.9,6.9,,6.5,,,,6.9,,,,5.9,08019,9.5,5.9
17,https://www.cinesa.es/cines/el-muelle/,Cinesa,El Muelle,"Centro comercial El Muelle Muelle de Sta. Catalina, s/n 35008 Las Palmas de Gran Canaria, Las Palmas","PRECIOS GENERALES Laborable (de lunes a jueves y viernes hasta las 18:59) 4,90€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 5,90€ Sesiones matinales (hasta las 14:59) 4,50€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 4,90€ myCINESA (todos los martes, excepto festivos) 4,50€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (todos los días) 4,90€ Menores de 13 años (todos los días) 4,50€ SUPLEMENTOS 3D 1€ Gafas 3D 1,50€",11.0,4.9,,,1.5,4.5,,4.5,,,,4.9,,,,4.9,35008,5.9,4.5
18,https://www.cinesa.es/cines/equinoccio/,Cinesa,Equinoccio,"Centro comercial Equinoccio Park C. Fresa, 2 28220 Majadahonda, Madrid","PRECIOS GENERALES Laborables (de lunes a jueves y viernes hasta las 18:59) 10,50€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 11,50€ SESIONES MATINALES Laborables (hasta las 14:59) 6,90€ Fin de semana y festivos (hasta las 14:59) 7,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,90€ myCINESA (todos los martes, excepto festivos) 6,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 7,90€ Menores de 13 años (todos los días) 7,90€ SUPLEMENTOS ScreenX 3,00€ iSense LUXE 2,00€ 3D 1€ Gafas 3D 1,50€ Butaca VIP 1,20€",20.0,10.5,,,7.9,7.9,,6.9,,,,7.9,,,,6.9,28220,11.5,6.9
19,https://www.cinesa.es/cines/festival-park/,Cinesa,Festival Park,"Centro comercial Mallorca Fashion Outlet Autovía Palma-Inca, Km 7,1, salida 8 07141 Marratxí (Mallorca)","PRECIOS GENERALES Laborables (de lunes a jueves y viernes hasta las 18:59) 6,90€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 7,90€ Sesiones matinales (hasta las 14:59) 5,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 5,50€ myCINESA (todos los martes, excepto festivos) 4,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario, menores de 13 y mayores de 65 años (todos los días) 5,90€ SUPLEMENTOS Sala IMAX 3,00€ Gafas IMAX 1,50€ 3D 1€ Gafas 3D 1,50€ Butaca VIP 1,20€",12.0,6.9,,,3.0,5.9,,7.9,,,,5.9,,,,5.5,07141,6.9,4.9
20,https://www.cinesa.es/cines/garbera/,Cinesa,Garbera,"Centro comercial Garbera De Garbera Bidea, 1 20015 San Sebastián-Donostia, Gipuzkoa","PRECIOS GENERALES Laborables (lunes a jueves y viernes hasta las 18:59) 9,50€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 10,50€ SESIONES MATINALES Laborables (hasta las 14:59) 6,50€ Fin de semana y festivos (hasta las 14:59) 7,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,50€ myCINESA (todos los martes, excepto festivos) 6,50€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 6,90€ Menores de 13 años (todos los días) 6,90€ SUPLEMENTOS Gafas 3D 1,50€ Sesiones 3D 1 €",7.0,9.5,,,6.9,6.9,,6.5,,,,6.9,,,,6.5,20015,10.5,6.5
21,https://www.cinesa.es/cines/grancasa/,Cinesa,Grancasa,"Centro comercial GranCasa Calle de María Zambrano, 35 50018 Zaragoza","PRECIOS GENERALES Todos los días 6,90€ Sesiones matinales (hasta las 14:59) 5,50€ DESCUENTOS CINESA Precio online (todos los días) 5,90€ Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 4,90€ myCINESA (todos los martes, excepto festivos) 4,90€ DESCUENTOS A COLECTIVOS Carné joven <26 años, carné universitario, mayores de 65 años y menores de 13 5,90€ Titulares carné familia numerosa (de lunes a jueves todo el día y viernes hasta las 18:59, excepto festivos y víspera de festivos)) 5,90€ SUPLEMENTOS Butaca VIP | 3D 1€ Gafas 3D 1,50 €",7.0,6.9,,,1.5,5.9,,5.9,,,,5.9,,,,4.9,50018,5.5,4.9
22,https://www.cinesa.es/cines/heron-city-las-rozas/,Cinesa,Heron City Las Rozas,"Centro comercial Heron City Las Rozas C. Camilo José Cela, 2 28232 Las Rozas de Madrid, Madrid","PRECIOS GENERALES Todos los días 9,50€ Sesiones matinales laborables (hasta las 14:59) 6,50€ Sesiones matinales fines de semana y festivos (hasta las 14:59) 6,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,20€ myCINESA (todos los martes, excepto festivos) 5,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 6,90€  Carné joven <30 años, carné universitario y mayores de 65 años (viernes y vísperas de festivo desde las 19:00, sábado, domingo y festivos) 7,50€ Menores de 13 años (todos los días) 6,90€ SUPLEMENTOS Sala IMAX 3,00€ Gafas IMAX 1,50€ 3D 1€ Gafas 3D 1,50€ Butaca VIP 1,20€",24.0,9.5,,,6.9,7.5,,6.9,,,,7.5,,,,5.9,28232,6.5,6.9
23,https://www.cinesa.es/cines/intu-xanadu/,Cinesa,Intu Xanadú,"Centro comercial Intu Xanadú C. Puerto de Navacerrada, km 23, 5 28939 Arroyomolinos, Madrid","PRECIOS GENERALES Laborables (de lunes a jueves y viernes hasta las 18:59) 10,50€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 11,50€ SESIONES MATINALES Laborables (hasta las 14:59) 6,90€ Fin de semana y festivos (hasta las 14:59) 7,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,90€ myCINESA (todos los martes, excepto festivos) 6,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 7,90€ Menores de 13 años (todos los días) 7,90€ SUPLEMENTOS 3D 1€ Gafas 3D 1,50€ iSense LUXE 2,00€",14.0,10.5,,,7.9,6.9,,11.5,,,,6.9,,,,7.9,28939,10.5,6.9
24,https://www.cinesa.es/cines/la-farga/,Cinesa,La Farga,"Centro comercial La Farga Av. de Josep Tarradellas i Joan, 145 08901 L'Hospitalet de Llobregat, Barcelona","PRECIOS GENERALES Todos los días 9,50€ Sesiones matinales en días laborables (hasta las 14:59) 6,50€ Sesiones matinales en fin de semana y festivos (hasta las 14:59) 6,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,20€ myCINESA (todos los martes, excepto festivos) 5,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 6,90€ Carné joven <30 años, carné universitario y mayores de 65 años (viernes y víspera de festivos desde las 19:00, sábados, domingos y festivos) 7,50€ Menores de 13 años (todos los días) 6,90€ SUPLEMENTOS 3D 1€ Gafas 3D 1,50€ Butaca VIP 1,20€",7.0,9.5,,,7.5,6.9,,6.5,,,,6.9,,,,6.2,08901,9.5,5.9
